Machine ID,Machine Type,Date,Shift,Temperature (°C),Vibration Level (mm/s),Energy Usage (kWh),Production Output (units),Downtime (minutes),Error Codes
M050,Printing Machine,22-09-2024,Evening,64.1,21.1,41.9,198,60,E02
M041,Spinning Machine,04-09-2024,Evening,62.5,24.8,41,186,41,E02
M035,Weaving Machine,04-10-2024,Morning,67.5,13,43.1,5,27,E02
M038,Spinning Machine,13-09-2024,Evening,86.7,18.4,30.1,115,29,E01
M025,Dyeing Machine,05-10-2024,Morning,80.7,24.7,43.7,83,35,E02
M048,Weaving Machine,26-10-2024,Evening,77.4,17.1,56.5,189,28,E01
M035,Spinning Machine,10-10-2024,Evening,65.3,14.2,34.4,3,23,E01
M039,Spinning Machine,27-09-2024,Morning,63.2,23.4,41,72,7,E03
M017,Dyeing Machine,10-09-2024,Night,78.7,12.1,43.2,71,39,E01
M043,Spinning Machine,01-09-2024,Night,76.5,17.6,52.6,52,23,E01
M028,Dyeing Machine,21-09-2024,Night,75.6,21.4,38.7,103,48,E03
M005,Dyeing Machine,29-09-2024,Evening,79.6,20.3,57.8,81,25,E01
M022,Spinning Machine,08-10-2024,Evening,72.1,14.3,43.5,18,21,None
M043,Dyeing Machine,13-09-2024,Evening,81.9,16.9,40.9,3,41,None
M039,Printing Machine,03-09-2024,Night,75.6,15.4,37.4,12,27,E01
M026,Weaving Machine,15-10-2024,Evening,83.3,18.2,41.7,197,1,E03
M045,Weaving Machine,08-10-2024,Evening,70.8,14.9,40.8,69,3,E01
M022,Dyeing Machine,20-10-2024,Morning,69.8,24,53.4,45,15,E02
M017,Dyeing Machine,16-10-2024,Morning,67.5,17.3,58.4,81,28,E02
M050,Spinning Machine,14-10-2024,Night,80.2,17.5,36.8,64,38,E02
M046,Printing Machine,16-10-2024,Evening,86.5,13.7,31.7,181,26,E01
M045,Weaving Machine,20-09-2024,Morning,64.7,14.8,45.8,124,46,E01
M015,Spinning Machine,14-10-2024,Evening,60.1,18.2,43.1,47,28,E01
M014,Spinning Machine,28-09-2024,Morning,88.2,21.3,37.5,182,34,E03
M011,Spinning Machine,29-09-2024,Night,65.7,20.2,36.7,29,9,E03
M003,Dyeing Machine,05-10-2024,Evening,76.3,23.8,56,146,37,E03
M024,Printing Machine,07-10-2024,Morning,76,13.9,42.8,59,57,E02
M014,Spinning Machine,19-09-2024,Evening,86.8,21.9,47.7,52,30,None
M026,Printing Machine,05-09-2024,Night,62.6,10.4,49.1,66,51,E01
M011,Dyeing Machine,16-09-2024,Morning,65.9,16,57.2,129,18,E03
M017,Printing Machine,08-09-2024,Night,72.1,14.6,58.7,113,22,E03
M014,Dyeing Machine,23-09-2024,Morning,77.7,24,38.8,115,48,E03
M021,Spinning Machine,15-09-2024,Morning,70.8,19.2,33,111,29,E03
M017,Spinning Machine,10-09-2024,Night,85.8,15.6,44.7,92,3,None
M024,Weaving Machine,29-09-2024,Morning,83.2,21.2,54.4,97,31,E02
M033,Printing Machine,13-10-2024,Night,87.3,21.8,32.2,155,40,E02
M003,Spinning Machine,09-10-2024,Night,83.3,17.5,46.2,140,32,E01
M029,Weaving Machine,01-09-2024,Evening,78.2,17.6,36.6,102,59,E03
M042,Printing Machine,23-10-2024,Night,87.2,21.5,40.8,170,56,E01
M027,Printing Machine,25-09-2024,Evening,76.8,18.8,31.8,45,37,E02
M014,Printing Machine,19-10-2024,Night,81.1,23,31.2,152,17,E03
M005,Printing Machine,02-09-2024,Evening,82.3,10.3,34.4,3,12,None
M031,Weaving Machine,16-09-2024,Morning,88.2,12.7,40.5,9,57,E01
M007,Printing Machine,25-09-2024,Night,76,23.3,51.1,51,11,None
M037,Spinning Machine,22-09-2024,Evening,69.2,23.1,51.6,179,16,E02
M046,Weaving Machine,15-10-2024,Evening,64.6,22,47.7,168,41,E01
M005,Weaving Machine,18-09-2024,Night,85.8,11.4,43.4,61,50,E03
M013,Spinning Machine,30-10-2024,Night,71.9,11.6,57.6,35,50,E01
M041,Spinning Machine,11-10-2024,Morning,76.6,18,54.5,102,25,E02
M018,Printing Machine,27-09-2024,Evening,61.6,18.5,54.9,119,45,E01
M003,Printing Machine,22-10-2024,Evening,68.8,10.5,55.9,131,59,E02
M002,Spinning Machine,22-09-2024,Morning,86.7,24.6,38.7,200,50,E03
M029,Dyeing Machine,15-09-2024,Morning,79.6,21.4,53.6,173,5,None
M014,Dyeing Machine,23-10-2024,Morning,74.3,18.8,59.2,112,11,None
M043,Dyeing Machine,16-10-2024,Night,75.7,16.7,59.8,149,26,E02
M037,Weaving Machine,25-09-2024,Evening,65,22.3,37.7,172,35,E01
M035,Weaving Machine,26-10-2024,Night,84.4,22.5,41,119,19,E03
M003,Weaving Machine,23-09-2024,Evening,72.3,18.6,53.9,47,48,E03
M031,Weaving Machine,01-10-2024,Evening,73.5,13.4,32.7,35,38,E01
M019,Printing Machine,19-10-2024,Night,71,11.4,30.9,154,53,E02
M040,Printing Machine,24-09-2024,Night,61.9,24.9,49.9,190,44,E03
M020,Spinning Machine,12-10-2024,Evening,69.5,21.2,53.3,66,32,E01
M043,Printing Machine,30-09-2024,Evening,62.6,15.4,42.7,46,8,E03
M035,Spinning Machine,25-10-2024,Morning,62.9,17.5,50.5,81,59,E03
M016,Dyeing Machine,08-09-2024,Night,60.9,17.7,34.1,150,59,E03
M004,Dyeing Machine,14-10-2024,Night,68.9,19.5,44.6,152,3,E01
M025,Printing Machine,12-10-2024,Night,80.7,19.8,30,124,59,E02
M050,Printing Machine,10-09-2024,Morning,74,23.3,31.8,91,11,None
M023,Weaving Machine,31-10-2024,Evening,89.6,12.3,48,11,13,E03
M036,Spinning Machine,26-10-2024,Night,89.1,15.7,39.9,45,1,None
M044,Spinning Machine,23-09-2024,Night,61.6,19.7,52.8,135,54,E01
M018,Weaving Machine,17-10-2024,Morning,82.7,14.2,59.4,88,21,E02
M026,Printing Machine,04-10-2024,Morning,64.9,13.3,58.7,139,19,E01
M040,Printing Machine,17-10-2024,Night,87.9,24.2,45,197,18,None
M023,Dyeing Machine,18-10-2024,Night,81.4,17.6,56.8,110,33,E02
M017,Weaving Machine,13-09-2024,Morning,68.4,13,35.5,175,14,E01
M007,Printing Machine,20-10-2024,Night,83.8,20.8,55.8,128,18,E01
M047,Weaving Machine,28-09-2024,Morning,76.9,14,37.8,77,6,E01
M043,Spinning Machine,22-09-2024,Evening,72.7,12.2,38.7,182,9,E03
M035,Printing Machine,15-09-2024,Morning,84.1,11.4,52.3,59,48,E02
M007,Dyeing Machine,01-10-2024,Morning,65,22.4,53.7,91,9,E01
M050,Printing Machine,26-10-2024,Evening,61.5,11.1,57.2,146,12,E01
M017,Spinning Machine,07-10-2024,Evening,73.7,12.5,34.5,37,49,E03
M033,Spinning Machine,13-10-2024,Night,72,12.6,40.7,50,53,None
M038,Printing Machine,03-09-2024,Evening,69.6,15.3,57.2,199,10,E02
M005,Weaving Machine,02-10-2024,Evening,68.4,12.3,57.8,103,57,E01
M040,Weaving Machine,10-09-2024,Evening,63.2,12.9,53.9,126,37,E02
M049,Dyeing Machine,19-09-2024,Morning,66.2,15.4,59.6,111,35,E03
M007,Printing Machine,13-09-2024,Morning,66.6,10.6,37,37,18,E03
M027,Weaving Machine,22-10-2024,Night,83.3,20.2,56.5,67,5,None
M018,Printing Machine,28-10-2024,Evening,86.6,16.7,58.5,41,30,E01
M041,Printing Machine,09-10-2024,Night,80.7,19.7,40.8,64,46,E02
M018,Spinning Machine,10-09-2024,Evening,84.9,19.3,39.2,98,36,None
M018,Spinning Machine,04-10-2024,Morning,71.7,15.1,43.5,119,55,E03
M004,Dyeing Machine,29-10-2024,Morning,78.2,19.4,39.6,130,43,None
M043,Weaving Machine,28-10-2024,Morning,68.4,10.4,55,65,34,E03
M004,Printing Machine,08-09-2024,Night,88.5,24.2,40.9,148,29,E01
M041,Dyeing Machine,30-09-2024,Morning,89.4,21,54.2,183,38,None
M025,Printing Machine,18-09-2024,Night,68.8,16.1,31.2,181,20,None
M050,Printing Machine,15-10-2024,Morning,72.6,13.6,37.2,108,14,None
M042,Printing Machine,19-09-2024,Evening,82.5,24.1,38.4,107,58,E03
M036,Dyeing Machine,06-10-2024,Morning,65.6,22.1,57.7,30,37,E02
M003,Printing Machine,05-09-2024,Night,77.8,23.5,55.2,5,8,E01
M012,Spinning Machine,21-09-2024,Evening,88.5,23.2,30.7,87,10,E02
M016,Spinning Machine,26-09-2024,Evening,81.7,22.2,40.1,27,60,E03
M034,Spinning Machine,19-09-2024,Night,66.1,15.6,49.9,80,31,None
M043,Weaving Machine,07-10-2024,Evening,64.9,13.6,34.1,96,54,E01
M050,Printing Machine,14-10-2024,Evening,66.2,11.9,45.6,19,53,E02
M006,Weaving Machine,10-09-2024,Evening,61,24.5,48,113,37,E01
M030,Weaving Machine,01-09-2024,Morning,73.4,13.8,47.1,54,11,E01
M021,Spinning Machine,17-09-2024,Night,62.9,11.6,54.5,81,19,E03
M048,Printing Machine,11-09-2024,Night,62.9,14.7,35.1,189,33,E02
M039,Dyeing Machine,14-10-2024,Night,62.7,13.7,52.5,7,18,E01
M020,Weaving Machine,13-09-2024,Night,62.9,10.2,58.8,186,51,E01
M021,Printing Machine,21-09-2024,Evening,89.6,18.5,40.9,95,21,None
M032,Printing Machine,03-10-2024,Evening,89.3,18.7,32.4,123,4,None
M046,Spinning Machine,23-09-2024,Morning,86.6,11.4,46.7,89,59,E02
M038,Spinning Machine,19-09-2024,Evening,89.9,17.9,35.8,135,5,None
M034,Weaving Machine,04-09-2024,Morning,65.4,17.2,45.8,45,0,None
M020,Dyeing Machine,21-10-2024,Night,75.1,15,56.8,118,59,None
M050,Printing Machine,19-09-2024,Evening,64.9,12.1,58.5,81,16,E02
M012,Weaving Machine,09-10-2024,Night,87,22.1,34.7,81,12,None
M008,Spinning Machine,17-10-2024,Morning,76.1,16.6,45.6,77,28,E02
M022,Weaving Machine,07-10-2024,Morning,62.8,17,46.6,127,57,E01
M016,Dyeing Machine,15-09-2024,Night,62.7,24.7,47,115,30,E01
M038,Printing Machine,20-09-2024,Evening,65.2,19,54.8,27,29,None
M048,Weaving Machine,15-09-2024,Night,71.7,22.6,35.2,159,6,E03
M022,Spinning Machine,03-09-2024,Evening,74.5,11,59.5,114,38,E02
M003,Spinning Machine,21-10-2024,Morning,62.9,20.3,53.6,24,56,E01
M025,Weaving Machine,03-09-2024,Night,78.7,16.9,56.3,63,26,E03
M024,Weaving Machine,02-09-2024,Evening,78.8,12.5,54,144,23,E01
M007,Printing Machine,20-10-2024,Morning,81.8,22,51.8,73,21,E02
M022,Weaving Machine,10-09-2024,Morning,86.6,10.8,30,109,21,E02
M015,Weaving Machine,28-09-2024,Evening,68.9,18.7,34,2,27,E02
M007,Spinning Machine,17-09-2024,Morning,75.4,19.2,39.4,53,35,E03
M005,Dyeing Machine,21-10-2024,Night,74.1,22.7,53.3,197,41,E01
M041,Dyeing Machine,23-09-2024,Morning,87,23.7,50.3,67,15,E02
M038,Printing Machine,02-10-2024,Evening,79.7,16.7,34.4,4,32,E02
M021,Printing Machine,18-10-2024,Morning,62.9,16.9,45.5,40,36,E03
M018,Printing Machine,29-10-2024,Night,87.2,14.2,45.4,64,11,None
M037,Spinning Machine,17-10-2024,Morning,78,12.3,42.1,30,1,E01
M019,Weaving Machine,06-10-2024,Night,84.8,23.9,59.2,141,31,E02
M027,Printing Machine,26-09-2024,Morning,76.5,13.2,33.7,158,52,E01
M042,Spinning Machine,24-10-2024,Evening,81.7,12.6,42.4,13,16,E03
M029,Weaving Machine,04-09-2024,Evening,70.1,22.3,49.2,32,0,None
M010,Printing Machine,18-09-2024,Night,63.2,19.2,55.2,90,57,E02
M033,Dyeing Machine,03-10-2024,Evening,84,11.5,37.3,42,10,None
M013,Dyeing Machine,20-10-2024,Night,69.9,16.5,37.2,69,5,E02
M014,Spinning Machine,05-09-2024,Morning,89.9,14.8,48.9,148,49,E03
M022,Dyeing Machine,08-10-2024,Evening,65.7,12.6,40.3,48,32,E01
M013,Spinning Machine,18-10-2024,Night,76.3,19.8,49.5,22,18,E01
M034,Dyeing Machine,11-10-2024,Night,64.5,20,39.4,194,37,E02
M044,Printing Machine,11-09-2024,Night,85.2,22.8,59.3,181,30,E03
M010,Weaving Machine,05-09-2024,Evening,85.7,22.4,32,175,4,E01
M045,Spinning Machine,29-09-2024,Morning,63.5,23.7,50,37,3,E02
M028,Dyeing Machine,07-09-2024,Night,60.6,23.7,34.7,172,5,None
M047,Weaving Machine,09-09-2024,Morning,81.8,19.1,59.1,165,13,E02
M033,Dyeing Machine,13-10-2024,Morning,71,24.2,35.6,99,56,E02
M005,Printing Machine,05-09-2024,Morning,85.5,19.3,54.9,50,34,E02
M049,Spinning Machine,30-09-2024,Morning,82.8,11.7,55.3,22,45,None
M027,Printing Machine,28-09-2024,Evening,82.9,19.7,30.7,147,8,E01
M032,Spinning Machine,23-09-2024,Morning,79.8,14.8,31.1,24,28,E02
M041,Dyeing Machine,10-10-2024,Morning,81.6,12.2,49.8,173,41,E02
M043,Printing Machine,21-10-2024,Evening,66.5,19.8,43.3,53,10,E01
M013,Weaving Machine,12-09-2024,Night,72.5,15.5,45.2,91,19,E01
M028,Spinning Machine,01-10-2024,Evening,88.3,12.9,49.9,83,55,E03
M047,Printing Machine,17-10-2024,Evening,75.3,14.3,54.5,17,50,None
M016,Weaving Machine,18-09-2024,Morning,86.8,11.3,43.4,174,23,None
M043,Dyeing Machine,29-09-2024,Morning,83.7,12.5,38.7,181,14,E02
M008,Printing Machine,09-09-2024,Morning,66.9,15.9,38.7,59,52,E03
M041,Dyeing Machine,20-10-2024,Night,80.1,19,50.1,111,56,E02
M008,Weaving Machine,27-10-2024,Night,63.8,10.2,47.5,9,53,None
M004,Dyeing Machine,10-09-2024,Evening,60.9,16.3,33.9,85,58,E01
M027,Weaving Machine,26-10-2024,Morning,67,11.8,38.8,77,11,None
M044,Printing Machine,26-09-2024,Night,73.3,11.3,51.7,193,36,E03
M035,Spinning Machine,14-09-2024,Night,64.9,10.4,40.4,125,41,E02
M013,Dyeing Machine,27-09-2024,Night,80.7,14.3,38.4,141,36,E02
M020,Weaving Machine,22-10-2024,Morning,88.9,15.1,55,64,20,None
M009,Spinning Machine,04-10-2024,Morning,78,21.1,49.9,184,48,None
M010,Printing Machine,05-09-2024,Evening,60.9,10,38.1,13,53,E01
M012,Printing Machine,27-09-2024,Night,63.4,22.6,41.6,179,38,E01
M021,Dyeing Machine,25-09-2024,Night,71.7,21.4,45.9,111,31,E03
M043,Spinning Machine,26-09-2024,Morning,80.7,15.6,49.6,150,38,E02
M009,Weaving Machine,28-09-2024,Evening,77.6,23.8,46.3,29,13,None
M017,Dyeing Machine,11-09-2024,Night,65.3,15.4,50.7,198,43,E01
M036,Dyeing Machine,22-09-2024,Night,66.6,24.4,36.3,176,29,E01
M013,Weaving Machine,28-09-2024,Morning,88.6,24.6,47,173,40,E01
M020,Weaving Machine,13-10-2024,Morning,63.2,17.1,36.4,114,37,E02
M016,Spinning Machine,20-10-2024,Morning,82.1,17.6,33.5,3,52,E01
M020,Printing Machine,10-09-2024,Night,85.5,13.1,50.7,176,7,E02
M022,Weaving Machine,30-10-2024,Night,83.8,22.4,34,128,9,None
M019,Weaving Machine,19-10-2024,Morning,74,16.7,34.6,30,25,E02
M038,Weaving Machine,18-09-2024,Evening,82.3,22.2,49.4,71,30,E03
M014,Printing Machine,26-10-2024,Night,69.3,11.9,52.9,127,38,E02
M045,Dyeing Machine,13-10-2024,Evening,67.1,17.2,41,11,7,E02
M010,Dyeing Machine,06-10-2024,Night,70.4,24.8,43,165,60,E02
M044,Weaving Machine,13-09-2024,Evening,75.7,22.6,42.3,51,23,E01
M016,Printing Machine,04-09-2024,Morning,70.2,20,36.9,162,31,None
M004,Printing Machine,29-10-2024,Night,79.9,23,52.5,192,35,E02
M038,Printing Machine,11-10-2024,Morning,82.9,12.2,44.9,17,59,None
M045,Dyeing Machine,25-09-2024,Night,80.1,24.1,59,142,24,E01
M043,Printing Machine,13-09-2024,Evening,83.8,14.9,35.1,17,50,E02
M016,Printing Machine,08-10-2024,Evening,85.3,21.6,31.5,194,59,E02
M042,Weaving Machine,10-10-2024,Morning,82.5,14.4,44.9,107,20,E03
M014,Weaving Machine,28-10-2024,Evening,60.7,21.5,51.4,93,24,E02
M031,Weaving Machine,29-09-2024,Night,87.5,10.4,47.8,62,14,E03
M006,Printing Machine,25-09-2024,Night,81,17.2,59,84,42,E03
M038,Spinning Machine,08-09-2024,Night,65.2,17.9,56.5,157,28,E01
M032,Dyeing Machine,23-10-2024,Morning,73,21,59.8,142,34,E02
M038,Weaving Machine,25-10-2024,Morning,79.6,13.3,34.7,100,35,None
M013,Dyeing Machine,30-10-2024,Morning,76.9,10.8,58.3,147,27,E03
M046,Dyeing Machine,15-10-2024,Evening,72.6,10.9,53.1,134,35,None
M004,Weaving Machine,09-10-2024,Morning,66.6,22.6,56.4,192,34,E03
M015,Dyeing Machine,14-10-2024,Morning,87,16.4,49,118,9,E03
M049,Dyeing Machine,09-10-2024,Morning,69.4,21,38.9,65,34,E03
M024,Spinning Machine,12-09-2024,Evening,89,12,46.2,42,52,E03
M033,Spinning Machine,14-09-2024,Night,85.5,23,54.4,90,4,E01
M016,Weaving Machine,05-10-2024,Morning,76.3,15.7,44.8,11,42,E03
M021,Printing Machine,09-09-2024,Evening,83.1,11.3,57.1,95,53,E01
M044,Dyeing Machine,04-10-2024,Night,84.5,24.5,56.6,88,11,None
M007,Printing Machine,04-10-2024,Night,62.6,12.5,30.1,97,13,E01
M003,Dyeing Machine,03-09-2024,Night,84.7,14.2,41.5,16,35,E02
M035,Weaving Machine,28-10-2024,Morning,62.8,10.5,32.7,4,3,E03
M041,Weaving Machine,24-10-2024,Evening,62.7,19.8,51.5,182,23,None
M015,Spinning Machine,12-10-2024,Evening,83.3,16.1,37.7,25,27,E01
M047,Printing Machine,10-09-2024,Night,61.3,24.3,53.8,189,19,None
M012,Spinning Machine,24-09-2024,Night,64.4,23.3,52.5,175,45,None
M022,Spinning Machine,02-09-2024,Morning,71.7,16.3,36.2,20,60,E01
M036,Dyeing Machine,01-10-2024,Evening,61.8,15.6,39.5,112,10,None
M026,Printing Machine,18-10-2024,Evening,70,17.1,47.2,143,50,E03
M028,Dyeing Machine,10-10-2024,Morning,65.1,12,47,5,28,E02
M003,Dyeing Machine,10-09-2024,Evening,72.5,10.1,34,24,19,E03
M041,Spinning Machine,01-09-2024,Evening,81.6,25,51.5,68,29,E03
M047,Printing Machine,10-09-2024,Evening,62.5,21.7,41,129,30,E03
M028,Dyeing Machine,02-09-2024,Evening,60.7,12,41.6,99,30,E01
M023,Dyeing Machine,30-10-2024,Evening,86.8,23.3,30.7,145,11,E03
M044,Weaving Machine,24-09-2024,Evening,69.3,20.5,56.9,54,4,E02
M018,Printing Machine,20-09-2024,Morning,89.4,10.4,44.5,198,20,None
M040,Printing Machine,12-09-2024,Night,68.9,11.5,47.6,44,7,E02
M021,Dyeing Machine,30-10-2024,Night,73.1,25,49.6,162,30,None
M014,Weaving Machine,08-09-2024,Morning,61.5,15.2,50.4,125,35,None
M027,Dyeing Machine,11-09-2024,Morning,73.7,23.9,33.7,145,0,None
M011,Weaving Machine,10-10-2024,Morning,69.1,24.8,30.9,38,36,E02
M022,Dyeing Machine,15-09-2024,Night,79.9,10.9,44.1,91,49,E02
M013,Spinning Machine,10-09-2024,Morning,89.4,19.1,46.1,98,34,E02
M040,Weaving Machine,12-10-2024,Evening,67.3,14.1,53.3,20,47,E02
M012,Dyeing Machine,24-10-2024,Night,82.1,15.4,35.2,146,60,None
M001,Dyeing Machine,25-10-2024,Morning,61.7,24.6,53.2,166,19,E03
M048,Spinning Machine,22-09-2024,Morning,63,21.7,30.9,103,7,E02
M008,Dyeing Machine,09-10-2024,Morning,70.5,20,54.9,73,38,None
M042,Weaving Machine,02-09-2024,Evening,65,23,52.7,82,16,E01
M021,Weaving Machine,25-10-2024,Evening,69.9,23.1,38.1,16,10,E01
M017,Weaving Machine,05-09-2024,Evening,66.4,22.7,42.5,142,0,None
M007,Spinning Machine,26-10-2024,Night,81.5,10.6,44,159,22,None
M036,Dyeing Machine,18-09-2024,Evening,62.3,10.4,56.8,37,59,E03
M015,Dyeing Machine,18-09-2024,Night,75.7,14.5,45.6,112,59,E01
M041,Spinning Machine,15-09-2024,Evening,74.8,16.9,31.3,124,3,E03
M004,Dyeing Machine,13-09-2024,Morning,73.2,13.8,37.7,71,0,None
M050,Dyeing Machine,10-09-2024,Night,84.1,18.6,34.1,56,28,E02
M037,Weaving Machine,04-10-2024,Evening,86.2,22.8,48.9,81,44,None
M003,Printing Machine,26-10-2024,Morning,74.5,19.6,32.4,3,27,None
M047,Weaving Machine,29-10-2024,Night,82.7,22.1,38.5,76,59,E01
M035,Spinning Machine,28-09-2024,Night,69,11.1,57.5,3,43,E01
M018,Printing Machine,16-09-2024,Morning,68.4,16.4,46.6,19,29,E02
M044,Dyeing Machine,12-10-2024,Night,81.5,18.5,37.9,124,3,None
M033,Printing Machine,25-10-2024,Morning,88,18.6,30.6,200,26,E02
M022,Spinning Machine,17-09-2024,Evening,69.9,11.3,32.7,81,43,E01
M014,Weaving Machine,08-09-2024,Night,82.4,18.2,44.1,171,18,E01
M029,Spinning Machine,05-10-2024,Evening,76,15.6,53.6,38,50,None
M019,Weaving Machine,26-09-2024,Evening,88.9,22.3,59.6,127,38,E03
M004,Spinning Machine,02-10-2024,Morning,82.6,12.5,43.1,13,30,E03
M025,Dyeing Machine,16-10-2024,Evening,69.8,17.9,53.5,173,5,E03
M013,Dyeing Machine,26-10-2024,Night,72.7,10.9,52.1,35,18,None
M041,Spinning Machine,26-10-2024,Evening,64.4,23.9,34.8,192,15,None
M006,Printing Machine,27-09-2024,Night,65.2,22,58.6,108,43,E01
M050,Weaving Machine,08-09-2024,Night,84.5,20.8,39.9,73,31,None
M030,Weaving Machine,19-09-2024,Morning,86.8,10.8,58.2,10,40,None
M025,Weaving Machine,09-09-2024,Morning,70.8,11.6,56.3,131,7,None
M047,Dyeing Machine,16-09-2024,Morning,78.3,12.2,52.3,0,34,E03
M017,Weaving Machine,23-10-2024,Morning,83.3,24.7,57.1,31,55,E02
M032,Dyeing Machine,01-10-2024,Night,71.4,12.7,53.7,168,34,E02
M044,Weaving Machine,20-09-2024,Night,63.6,13.8,49.4,25,39,E03
M036,Weaving Machine,28-09-2024,Evening,74.5,23.9,46.5,89,51,E03
M035,Weaving Machine,14-10-2024,Morning,62.1,14.7,55.9,164,30,E01
M037,Spinning Machine,06-09-2024,Evening,72.5,23.1,46.6,29,17,None
M001,Spinning Machine,09-10-2024,Morning,70,11.5,50.1,188,0,None
M041,Printing Machine,01-09-2024,Night,75.9,23.6,30.6,140,17,E01
M044,Spinning Machine,23-10-2024,Night,67.1,21,32.1,71,58,None
M011,Printing Machine,25-09-2024,Evening,79.2,20.7,52.3,37,51,E02
M011,Weaving Machine,29-09-2024,Evening,88.1,17.2,56.5,189,26,E03
M034,Weaving Machine,07-10-2024,Evening,75.5,24,47.7,154,0,None
M022,Weaving Machine,20-10-2024,Evening,78.2,21.6,31.8,194,41,E02
M010,Printing Machine,23-10-2024,Night,67.2,18.1,59.3,53,22,E02
M013,Printing Machine,18-09-2024,Morning,84.8,22.5,50,39,8,E01
M046,Dyeing Machine,11-09-2024,Night,84,13.6,39.6,81,25,E01
M023,Spinning Machine,14-10-2024,Night,78.2,15.5,53.8,95,43,None
M040,Weaving Machine,16-10-2024,Night,86.2,23.3,56.7,62,32,E02
M001,Weaving Machine,27-10-2024,Morning,80.7,11.9,54.2,22,6,E02
M008,Weaving Machine,19-09-2024,Night,83.4,17.7,52.2,158,40,E02
M012,Weaving Machine,09-09-2024,Evening,84.3,19.5,39.2,3,4,E02
M049,Weaving Machine,05-09-2024,Evening,83.5,18.4,40.1,23,41,E02
M029,Printing Machine,06-09-2024,Evening,66.6,20.6,46.6,126,32,E01
M021,Spinning Machine,20-10-2024,Night,74.5,16.1,54.4,94,28,E03
M031,Weaving Machine,01-10-2024,Evening,75.9,10.2,43.3,85,54,None
M017,Printing Machine,09-10-2024,Morning,71,18.9,44.9,74,36,E02
M021,Weaving Machine,04-09-2024,Evening,67.9,12.9,36.6,29,6,E03
M024,Printing Machine,07-10-2024,Evening,81.8,23.3,56.9,168,21,E01
M033,Printing Machine,05-09-2024,Evening,68.8,16.7,46.3,136,19,E02
M049,Printing Machine,24-09-2024,Night,89.5,10.3,55.1,130,38,None
M006,Dyeing Machine,15-09-2024,Night,62.3,17.8,49.9,199,32,None
M048,Dyeing Machine,10-10-2024,Evening,79.3,12.6,44.4,101,34,E01
M019,Printing Machine,06-10-2024,Night,89,13.8,49.3,19,42,E03
M039,Weaving Machine,27-10-2024,Morning,67.6,20.5,37,119,52,E01
M023,Dyeing Machine,03-10-2024,Evening,73.2,19.5,59.8,62,38,None
M043,Weaving Machine,12-10-2024,Night,86.5,13.1,54.5,106,1,None
M030,Spinning Machine,09-09-2024,Night,64.9,16.4,45.1,171,30,E03
M007,Spinning Machine,01-09-2024,Evening,87.9,22,47.9,127,40,E03
M027,Weaving Machine,01-10-2024,Morning,84.8,16.9,59.8,43,39,E03
M037,Dyeing Machine,10-09-2024,Morning,84.1,21.5,43.3,7,21,None
M030,Printing Machine,01-09-2024,Night,64.6,14.3,37.9,164,19,E02
M036,Dyeing Machine,25-09-2024,Evening,89.5,22.3,33.7,114,6,E02
M029,Dyeing Machine,14-10-2024,Evening,71.1,16.1,50.9,4,34,E03
M041,Spinning Machine,04-10-2024,Evening,64.5,14.5,48.2,160,41,E03
M026,Spinning Machine,12-10-2024,Evening,78.8,12.2,50.8,193,34,E03
M018,Spinning Machine,04-09-2024,Morning,83.3,23.8,44,159,9,None
M012,Dyeing Machine,30-10-2024,Night,61.7,15.1,31,63,20,None
M021,Dyeing Machine,12-10-2024,Night,67.2,19.4,57.2,130,7,E03
M050,Spinning Machine,01-10-2024,Evening,77.5,19.3,43.7,31,60,None
M049,Spinning Machine,03-10-2024,Morning,75.6,12.9,43.4,70,33,E03
M006,Weaving Machine,12-10-2024,Evening,79,16.4,52.3,137,7,None
M025,Dyeing Machine,11-10-2024,Morning,66,20.5,31.4,111,32,E03
M035,Spinning Machine,05-09-2024,Night,86.9,23.9,52.7,26,15,E01
M011,Dyeing Machine,21-09-2024,Evening,79.8,23.3,44.9,149,42,E02
M001,Spinning Machine,30-10-2024,Evening,70.3,22.4,39.9,30,38,E03
M050,Spinning Machine,17-10-2024,Morning,69.8,23.8,40.7,85,59,E03
M005,Weaving Machine,13-10-2024,Night,89.5,16.1,39.9,18,50,None
M038,Printing Machine,04-10-2024,Morning,81.2,22.9,47.8,106,43,None
M006,Spinning Machine,02-09-2024,Morning,66.7,13.5,51,194,36,None
M029,Weaving Machine,15-10-2024,Evening,80.7,18.3,43,27,18,E03
M039,Printing Machine,05-09-2024,Evening,85.1,24.2,53.4,125,59,E02
M015,Spinning Machine,05-10-2024,Night,71.8,15.8,50.6,19,5,None
M040,Spinning Machine,25-09-2024,Morning,81.2,23.1,39.3,56,44,E01
M027,Spinning Machine,10-09-2024,Evening,87.2,11.8,31.7,189,3,E03
M031,Weaving Machine,17-09-2024,Evening,64.6,15.1,32.4,51,56,E01
M043,Weaving Machine,25-10-2024,Night,70.2,17.8,38,147,35,E01
M023,Printing Machine,11-10-2024,Night,85.7,14.5,34.5,192,11,E02
M013,Spinning Machine,15-09-2024,Evening,77.5,22.2,56.1,61,16,E03
M024,Spinning Machine,06-10-2024,Night,80.7,22.9,39.6,161,49,E03
M034,Printing Machine,12-10-2024,Evening,74.7,15.9,30.1,79,22,None
